epoch,acc,loss
0,0.0,0.33115311629242367
1,0.0,0.3230510436826282
2,0.002222222172551685,0.31188144783178967
3,0.0011111110862758425,0.2997353557083342
4,0.002222222172551685,0.2868243952592214
5,0.0011111110862758425,0.2730797529220581
6,0.0011111110862758425,0.25781481878625023
7,0.0033333332588275275,0.24010351962513393
8,0.0,0.21827777061197493
9,0.0011111110862758425,0.1893889887465371
10,0.00444444434510337,0.14945680109990966
11,0.00444444434510337,0.0964658074080944
12,0.007777777603930897,0.06614593457844523
13,0.024444443898068532,0.06321671832766798
14,0.04888888800309764,0.062026278840170965
15,0.05999999927977721,0.06192174471086926
16,0.08111111053989993,0.061509540718462735
17,0.08111110991901821,0.061754010824693575
18,0.08333333229853047,0.06179415952000353
19,0.08333333250549105,0.061438400505317584
20,0.07777777666019069,0.06117946613166067
21,0.06444444321095943,0.0611123266733355
22,0.09999999962747097,0.06117934029963282
23,0.08555555509196387,0.06104362652533584
24,0.08888888793687026,0.06116474750969145
25,0.09222222119569778,0.06075695012178686
26,0.07444444381528431,0.060803817585110664
27,0.08222222162617578,0.06061060188545121
28,0.08222222162617578,0.06031770341926151
29,0.10111110967894395,0.06033442293604215
30,0.09222222057481606,0.06012360917197333
31,0.0811111107468605,0.060367443288366
32,0.08999999881618553,0.059914686199691564
33,0.09444444419609176,0.05987675943308406
34,0.09555555486844645,0.05973220637275113
35,0.09222222160961893,0.059744293284085065
36,0.1133333332836628,0.05960975007878409
37,0.08555555509196387,0.05955229327082634
38,0.10000000004139212,0.05929316414727105
39,0.07333333272900847,0.05915354461305671
40,0.09666666512688,0.05915731398595704
41,0.11555555524925391,0.05890436843037605
42,0.08777777602275212,0.05905848079257541
43,0.09444444336824948,0.05858531532188257
44,0.08222222162617578,0.05825105537143019
45,0.08999999943706724,0.058210581748021975
46,0.12222222093906668,0.057961033657193184
47,0.09888888812727398,0.05771768113805188
48,0.12333333202534252,0.05748504979742898
49,0.11222222199042638,0.05741367799540361
50,0.10333333309325907,0.05704886900881926
51,0.1099999998178747,0.05667420973380407
52,0.13444444350898266,0.056526829592055745
53,0.09999999900658925,0.05594717628426022
54,0.11555555421445105,0.05565012494723002
55,0.12000000062916014,0.05540897510945797
56,0.12333333243926366,0.054778655990958214
57,0.11888888809416029,0.0545997673438655
58,0.1399999987334013,0.05401275265547964
59,0.11777777762876616,0.05362701043486595
60,0.13111111149191856,0.05301149458520942
61,0.11333333349062337,0.05204386222693655
62,0.11777777700788444,0.05139237725072437
63,0.11888888809416029,0.049849128971497216
64,0.14666666649281979,0.04656046049462424
65,0.13111111004319456,0.042826599751909576
66,0.13111111066407627,0.041054960133300886
67,0.1366666658884949,0.0398944980568356
68,0.11777777700788444,0.038884906098246574
69,0.12444444393946065,0.03800281075139841
70,0.1199999979386727,0.0370633297910293
71,0.140000000803007,0.036050581062833466
72,0.12333333264622423,0.03521362298892604
73,0.12666666693985462,0.034258219309979014
